tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
AV.;BARAO DO RIO BRANCO;TRANCADOR;829;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;827;FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;827;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;813;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;813;A;
AV.;BARAO DO RIO BRANCO;TRANCADOR;26;;
RUA;MANOEL TEODORO;TRANCADOR;30;;
RUA;MANOEL TEODORO;TRANCADOR;46;;
RUA;MANOEL TEODORO;TRANCADOR;56;;
RUA;MANOEL TEODORO;TRANCADOR;68;;
RUA;MANOEL TEODORO;TRANCADOR;70;;
RUA;MANOEL TEODORO;TRANCADOR;62;;
RUA;MANOEL TEODORO;TRANCADOR;76;;
RUA;MANOEL TEODORO;TRANCADOR;86;;
RUA;MANOEL TEODORO;TRANCADOR;98;;
RUA;MANOEL TEODORO;TRANCADOR;102;;
RUA;MANOEL TEODORO;TRANCADOR;112;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.019,00;FUNDOS ;
RUA;MAJOR JOSE RIBEIRO;SANTA RITA;143;;
RUA;MAJOR JOSE RIBEIRO;SANTA RITA;141;;
RUA;MAJOR JOSE RIBEIRO;SANTA RITA;255;;
RUA;MAJOR JOSE RIBEIRO;SANTA RITA;123;;
RUA;MAJOR JOSE RIBEIRO;SANTA RITA;69;;
