tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;494;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;484;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;600;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;600;A - TERREO;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.285,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.275,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.265,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.305,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;742; - F;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;754;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;768; - TERREO;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;768; - A - PAV. - SUPERIOR;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;764;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;774;FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;774;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;784;C;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;734; - FDS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;794; - FUNDOS ;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;784; - BECO ;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;794; - FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;794; - PAV 02;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;794; - PAV TERREO LOJAS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;804;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;820;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;842;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;842; - FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;842;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;852;;
